Restaurants,App,Take Out Service,Area Income,Town Population,Outdoor Dining,Distance from Town Center,Monthly Revenue,,,,,,,,,
JAK,1,0,"$85,407","190,000",0,5,"$142,583"
BLM,1,1,"$105,443","290,000",1,2,"$621,083"
JJJ,1,1,"$106,572","140,000",1,2,"$464,938"
CJG,1,1,"$76,255","130,000",0,2,"$485,968"
BER,0,0,"$119,476","160,000",0,6,"$181,083"
CHM,0,1,"$145,000","300,000",1,2,"$666,917"
JDN,0,1,"$150,000","190,000",0,3,"$464,938"
SEG,1,0,"$51,294","80,000",0,6,"$140,615"
KLR,0,0,"$53,007","280,000",0,2,"$552,333"
LPE,1,1,"$54,000","50,000",0,6,"$140,615"
IJN,1,1,"$67,867","100,000",0,2,"$318,583"
EFD,0,0,"$96,018","140,000",1,2,"$456,083"
UHG,0,0,"$75,944","150,000",0,4,"$253,271"
ODN,0,0,"$118,513","220,000",1,2,"$581,070"
EDJ,1,1,"$75,000","50,000",0,6,"$149,789"
ENK,0,1,"$103,247","140,000",0,3,"$346,083"
LPK,1,1,"$81,145","120,000",0,3,"$222,333"
WDU,1,0,"$90,380","90,000",0,4,"$197,583"
LJP,1,0,"$67,000","130,000",0,2,"$201,708"
SMM,1,0,"$58,000","50,000",0,3,"$123,333"
SLV,1,0,"$107,034","100,000",1,3,"$304,833"
NGT,0,1,"$94,425","200,000",0,6,"$552,333"
WWD,0,1,"$57,000","240,000",0,2,"$593,583"
ARR,0,1,"$67,800","180,000",0,2,"$407,958"
